2686186,2020-09,Al-Maceio,Construção,Construção de Edifícios,-1,Servente de Obras,Não Identificado,Até 5ª Incompleto,50,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1045,Zero,Não,EmpregadoWEB,Não,99,50 A 64 anos,,2020
2686187,2020-09,Al-Maceio,Construção,Construção de Edifícios,-1,Armador de Estrutura de Concreto,Não Identificado,Até 5ª Incompleto,35,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1440.78,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020
2686188,2020-09,Al-Maceio,Indústrias de Transformação,Fabricação de Embalagens de Material Plástico,-1,"Operador de Extrusora (Quimica, Petroquimica e Afins)",Não Identificado,Médio Completo,27,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1727.5,Zero,Não,EmpregadoWEB,Não,99,25 A 29 anos,,2020
2686189,2020-09,Al-Maceio,Atividades Administrativas e Serviços Complementares,Atividades de Cobrança e Informações Cadastrais,-1,Atendente de Lojas e Mercados,Não Identificado,Médio Completo,31,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020
2686190,2020-09,Al-Maceio,Atividades Administrativas e Serviços Complementares,Atividades de Cobrança e Informações Cadastrais,-1,Atendente de Lojas e Mercados,Não Identificado,Médio Completo,26,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,25 A 29 anos,,2020
2686191,2020-09,Al-Maceio,Atividades Imobiliárias,Gestão e Administração da Propriedade Imobiliária,-1,Porteiro de Edificios,Não Identificado,Médio Completo,42,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1472.27,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020
2686192,2020-10,Al-Maceio,Atividades Imobiliárias,Gestão e Administração da Propriedade Imobiliária,-1,Porteiro de Edificios,Não Identificado,Médio Incompleto,22,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1303.37,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2020
2686193,2020-10,Al-Arapiraca,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Varejista de Artigos do Vestuário e Acessórios,-1,Vendedor de Comercio Varejista,Não Identificado,Médio Completo,43,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1065,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020
2686194,2020-10,Al-Arapiraca,Atividades Administrativas e Serviços Complementares,Serviços Combinados de Escritório e Apoio Administrativo,-1,Assistente Administrativo,Não Identificado,Médio Completo,33,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1065,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020
2686195,2020-10,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas","Representantes Comerciais e Agentes do Comércio de Madeira, Material de Construção e Ferragens",-1,Motorista de Caminhao (Rotas Regionais e Internacionais),Não Identificado,Médio Completo,36,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1680.45,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020
2686196,2020-10,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas","Comércio Varejista de Mercadorias em Geral, com Predominância de Produtos Alimentícios - Supermercados",-1,Vendedor de Comercio Varejista,Não Identificado,Médio Completo,48,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1060,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020
2686197,2020-11,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio a Varejo de Peças e Acessórios Novos para Veículos Automotores,-1,Soldador,Não Identificado,Médio Completo,35,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1796,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020
2686198,2020-11,Al-Maceio,Indústrias de Transformação,Fabricação de Embalagens de Material Plástico,-1,Operador de Empilhadeira,Não Identificado,Médio Completo,43,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1300,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020
